iter	Passed	Remaining
797	1791	453
798	1792	450
799	1793	448
800	1794	445
801	1795	443
802	1796	440
803	1797	438
804	1798	435
805	1799	433
806	1804	431
807	1805	428
808	1806	426
809	1807	423
810	1808	421
811	1809	418
812	1810	416
813	1811	413
814	1812	411
815	1813	409
816	1815	406
817	1817	404
818	1818	401
819	1819	399
820	1820	396
821	1821	394
822	1823	392
823	1824	389
824	1825	387
825	1826	384
826	1827	382
827	1828	379
828	1833	378
829	1834	375
830	1835	373
831	1836	370
832	1837	368
833	1838	366
834	1840	363
835	1841	361
836	1842	358
837	1843	356
838	1846	354
839	1847	351
840	1849	349
841	1850	347
842	1851	344
843	1852	342
844	1854	340
845	1855	337
846	1856	335
847	1858	333
848	1862	331
849	1863	328
850	1864	326
851	1865	324
852	1866	321
853	1867	319
854	1868	316
855	1870	314
856	1871	312
857	1873	310
858	1877	308
859	1878	305
860	1879	303
861	1880	301
862	1882	298
863	1883	296
864	1884	294
865	1885	291
866	1886	289
867	1887	287
868	1891	285
869	1892	282
870	1893	280
871	1894	278
872	1896	275
873	1897	273
874	1898	271
875	1899	268
876	1900	266
877	1902	264
878	1904	262
879	1906	259
880	1907	257
881	1908	255
882	1909	252
883	1910	250
884	1911	248
885	1912	246
886	1913	243
887	1914	241
888	1916	239
889	1917	236
890	1920	234
891	1922	232
892	1923	230
893	1924	228
894	1925	225
895	1926	223
896	1927	221
897	1928	219
898	1929	216
899	1931	214
900	1932	212
901	1936	210
902	1937	208
903	1938	205
904	1939	203
905	1941	201
906	1942	199
907	1943	196
908	1945	194
909	1946	192
910	1950	190
911	1951	188
912	1952	186
913	1953	183
914	1955	181
915	1956	179
916	1957	177
917	1958	174
918	1959	172
919	1960	170
920	1961	168
921	1965	166
922	1966	164
923	1967	161
924	1969	159
925	1970	157
926	1971	155
927	1972	153
928	1973	150
929	1974	148
930	1975	146
931	1979	144
932	1980	142
933	1982	140
934	1983	137
935	1984	135
936	1985	133
937	1986	131
938	1987	129
939	1988	126
940	1989	124
941	1991	122
942	1994	120
943	1995	118
944	1996	116
945	1997	114
946	1998	111
947	1999	109
948	2000	107
949	2001	105
950	2002	103
951	2004	101
952	2005	98
953	2006	96
954	2010	94
955	2011	92
956	2012	90
957	2013	88
958	2014	86
959	2015	83
960	2016	81
961	2017	79
962	2019	77
963	2020	75
964	2023	73
965	2024	71
966	2026	69
967	2027	67
968	2028	64
969	2029	62
970	2031	60
971	2032	58
972	2033	56
973	2035	54
974	2037	52
975	2039	50
976	2040	48
977	2041	45
978	2042	43
979	2043	41
980	2044	39
981	2045	37
982	2046	35
983	2048	33
984	2049	31
985	2053	29
986	2054	27
987	2055	24
988	2056	22
989	2057	20
990	2059	18
991	2060	16
992	2061	14
993	2062	12
994	2063	10
995	2064	8
996	2068	6
997	2069	4
998	2070	2
999	2071	0
